t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784818800000,1281.800000,1724.800000,0.345608,0.000098,-0.000027,37.500000,-7.165458,30.334542,136.153543
1784822400000,1287.500000,1731.400000,0.344777,-0.000280,0.000004,36.600000,-6.798077,29.801923,136.686161
1784826000000,1284.300000,1729.500000,0.346648,0.000287,-0.000025,35.300000,-7.210691,28.089309,138.398775
1784829600000,1274.900000,1691.500000,0.326771,0.000006,-0.000034,63.900000,-7.276564,56.623436,109.864648
1784833200000,1282.500000,1693.300000,0.320312,-0.000093,-0.000010,69.700000,-7.174985,62.525015,103.963070
1784836800000,1285.400000,1710.100000,0.330403,-0.000165,0.000006,55.800000,-6.951856,48.848144,117.639940
1784840400000,1278.100000,1702.300000,0.331899,0.000243,-0.000010,56.300000,-7.280248,49.019752,117.468332
1784844000000,1279.800000,1705.000000,0.332239,-0.000085,-0.000021,55.300000,-7.207563,48.092437,118.395647
1784847600000,1280.500000,1696.200000,0.324639,-0.000130,-0.000020,64.800000,-7.076082,57.723918,108.764166
1784851200000,1249.600000,1675.600000,0.340909,-0.000094,-0.000023,54.500000,-6.996840,47.503160,118.984924
1784854800000,1247.400000,1665.500000,0.335177,0.000036,-0.000017,62.400000,-7.070155,55.329845,111.158240
1784858400000,1216.700000,1632.400000,0.341662,0.000001,-0.000010,64.800000,-7.088549,57.711451,108.776633
1784862000000,1208.900000,1623.600000,0.343039,0.000069,0.000006,65.800000,-7.162169,58.637831,107.850254
1784865600000,1213.500000,1642.500000,0.353523,0.000100,0.000006,51.500000,-7.273245,44.226755,122.261329
1784869200000,1214.700000,1646.500000,0.355479,0.000079,-0.000016,48.700000,-7.395771,41.304229,125.183855
1784872800000,1214.500000,1640.000000,0.350350,0.000081,-0.000030,55.000000,-7.543407,47.456593,119.031491
1784876400000,1220.600000,1650.900000,0.352532,0.000143,-0.000029,50.200000,-7.766606,42.433394,124.054691
1784880000000,1221.400000,1651.200000,0.351891,0.000061,-0.000016,50.700000,-7.867627,42.832373,123.655712
1784883600000,1229.300000,1670.300000,0.358741,0.000084,0.000006,39.500000,-7.960309,31.539691,134.948393
1784887200000,1219.800000,1647.000000,0.350221,0.000006,0.000006,53.300000,-7.957639,45.342361,121.145723
1784890800000,1227.000000,1655.700000,0.349389,0.000064,0.000000,51.800000,-8.036318,43.763682,122.724402
1784894400000,1218.600000,1644.600000,0.349581,0.000040,0.000004,54.500000,-8.078769,46.421231,120.066853
1784898000000,1177.800000,1577.500000,0.339362,0.000078,0.000005,80.800000,-8.164077,72.635923,93.852161
1784901600000,1190.100000,1592.900000,0.338459,-0.000564,0.000006,77.700000,-7.483070,70.216930,96.271155
1784905200000,1193.000000,1588.400000,0.331433,-0.000447,0.000001,85.100000,-6.949350,78.150650,88.337435
1784908800000,1183.000000,1572.900000,0.329586,0.000124,0.000006,90.600000,-7.085646,83.514354,82.973730
1784912400000,1181.100000,1560.900000,0.321565,-0.000080,0.000002,100.700000,-6.988254,93.711746,72.776338
